it_id	italian	nl_id	dutch
8633167	Parli in francese.	8982923	Spreek Frans!
393787	Credo che non tornerà mai più.	3849950	Ik geloof dat hij nooit meer zal terugkomen.
5930370	Scrissi una lettera in francese.	8435477	Ik schreef een brief in het Frans.
2795611	Stavo fumando.	2795719	Ik was aan het roken.
2298406	Ho la xenofobia.	8640932	Ik heb xenofobie.
2189174	Sono al piano di sopra.	9275087	Ze zijn boven.
1496428	Ho uno scooter.	1496435	Ik heb een scooter.
2394763	Impariamo l'inglese a scuola.	1968732	Wij leren Engels op school.
3589957	Vado spesso a nuotare in mare d'estate.	1101184	In de zomer zwem ik vaak in de zee.
3424811	Sono diventato nervoso sul palco.	721890	Ik werd zenuwachtig op het toneel.
5457415	Scappiamo assieme.	8572923	Laten we samen ontsnappen.
1125684	Sa giocare a tennis molto bene.	462127	Hij speelt zeer goed tennis.
4593545	Ha torto.	3219441	Ze heeft ongelijk.
3346540	Ho tutto sotto controllo.	11046428	Ik heb alles onder controle.
3168714	Sto cercando mio fratello.	6875537	Ik ben op zoek naar mijn broer.
954930	Ho fiducia in te.	664768	Ik vertrouw op je.
1019318	Hanno una grande casa.	1019315	Ze hebben een groot huis.
4648025	Ordiniamo?	12588037	Zullen we bestellen?
10723980	Rifiutavo i regali.	11214777	Ik weigerde de cadeaus.
12634399	Sai perché?	6622135	Weet je waarom?
2416953	Fotti tua mamma, puttana.	6622473	Neuk je moeder, slet.
1115120	Basta studiare!	4228550	Stop met studeren!
8475072	Ho visitato il mio amico ieri.	8475290	Ik bezocht gisteren mijn vriend.
1255621	Suonò la sirena.	9428726	De sirene luidde.
1851468	Assomigli proprio a tuo fratello maggiore.	1510527	Je ziet eruit als je oudere broer.
2193827	È immorale.	8663283	Het is onzedelijk.
11121234	Sono sposato e ho tre figli.	11122042	Ik ben gehuwd en ik heb drie kinderen.
1062215	Vivrò per un mese da mio zio.	3166508	Gedurende een maand zal ik bij mijn oom wonen.
3131009	Abbiamo bisogno del tuo aiuto.	4229445	We hebben jouw hulp nodig.
643412	Pensa di sapere tutto.	643420	Hij denkt dat hij alles weet.
2862883	Bisogna scegliere bene le parole chiave.	4511224	Je moet de trefwoorden precies kiezen.
1611451	Era impaziente di vedere suo figlio.	1129235	Hij was ongeduldig om zijn zoon te zien.
3759135	Ammise che era vero.	7958114	Hij gaf toe dat het waar was.
7096028	È un'illusione ottica.	11622588	Dat is een optische illusie.
5529051	Prometto che sarà felice.	6136816	Ik beloof dat je gelukkig zult zijn.
3307995	Ho trovato una moneta sul marciapiede.	4469524	Ik heb een geldstuk op het trottoir gevonden.
945614	Prenderò quello giallo.	7207045	Ik neem de gele.
1791834	Mangiava pane e carne.	1792203	Hij at brood en vlees.
2562814	Sarò il tuo incubo peggiore.	4190016	Ik zal jouw grootste nachtmerrie zijn.
3753331	Puoi scrivere in qualunque lingua tu voglia. Su Tatoeba tutte le lingue sono uguali.	823121	Je mag schrijven in welke taal je maar wilt. Hier op Tatoeba zijn alle talen gelijk.
1210810	Abitano qui da dieci anni.	3949865	Ze wonen hier al tien jaar.
1966078	Sei triste?	3512704	Heb je verdriet?
1276301	È oltre la mia comprensione.	4216448	Dat gaat boven mijn petje.
917777	È strano.	9631777	Hij is raar.
383761	Hai una buona memoria.	675720	Ge hebt een goed geheugen.
375084	Ero da solo in aula.	377756	Ik was alleen in het lokaal.
764059	È esattamente ciò che volevo.	699814	Dit is precies wat ik wou.
12226426	Hanno scritto un libro.	12226438	Ze schreven een boek.
529410	Ho una settimana per fare i compiti.	527294	Ik heb een week de tijd om mijn huiswerk af te maken.
3222096	È un uccello.	3529017	Het is een vogel.
5655452	Ho riconosciuto Mary a prima vista.	702039	Ik herkende Maria op het eerste gezicht.
1993892	Sta piovendo a catinelle stasera.	704986	Het regent pijpestelen vanavond.
5224272	Ho trovato un appartamento.	9182436	Ik heb een flat gevonden.
12361732	Stai lontano dai piedi del cavallo.	12361736	Blijf uit de buurt van de voeten van het paard.
12076988	Vorrei due palline di gelato.	12077056	Ik wil graag een ijsje met twee bolletjes.
6555841	È una betulla.	10733242	Het is een berk.
378904	È una questione morale.	9175322	Het is een morele kwestie.
948538	Ho un amico il cui padre è veterinario.	2194251	Ik heb een vriend wiens vader dierenarts is.
1464074	Dovrei essere a scuola.	1478246	Ik moet eigenlijk op school zijn.
3533077	Ho avuto una giornata difficile.	9560015	Ik had een moeilijke dag.
1276371	Potreste aiutarci dopo la scuola?	5458882	Zouden jullie ons kunnen helpen na school?
2170777	Succhiami il cazzo.	4193642	Zuig aan mijn pik.
1135292	Sei una brava cuoca.	12297185	Je bent een goede kokkin.
8376995	Odio la scienza.	7499598	Ik haat wetenschap.
3587178	Sono le sei.	4328645	Het is zes uur.
1520410	Ho pensato la stessa identica cosa.	12326363	Ik dacht precies hetzelfde.
2526284	Quando ti sei alzata?	5904895	Wanneer ben je opgestaan?
1246309	Sembra che lui ci conosca.	592260	Hij lijkt ons te kennen.
2001857	Non ti ho mai vista.	7949412	Ik heb je nooit gezien.
4751958	Non ci fidiamo del governo.	4743720	We hebben geen vertrouwen in de regering.
3567103	"Tu mi ami? ""Non lo so."""	6460094	„Hou je van me?” „Ik weet het niet.”
2682944	Io ti ho mentito.	8571385	Ik loog tegen je.
2680375	Lei si sposò all'età di 25 anni.	1286802	Ze is getrouwd toen ze 25 was.
3340108	Mary si sentì esclusa.	9419914	Maria voelde zich buitengesloten.
2001858	Io non ti ho mai vista.	7949412	Ik heb je nooit gezien.
3553504	Io non mi aspetto niente da lei.	5538811	Ik verwacht niets van u.
3009305	La mia umiltà mi rende fiero.	3369940	Mijn nederigheid maakt me trots.
2838736	"L'Eritrea si chiama ""Erta"" in tigrino."	7462524	"Eritrea wordt ""Erta"" genoemd in het Tigrinya."
3583098	Tom si tolse la camicia.	1483044	Tom trok zijn shirt uit.
2706866	Nessuno ti ha forzata ad aiutarmi.	9182274	Niemand dwong je om mij te helpen.
1268704	Lui mi ha dato 10.000 yen.	11551631	Hij gaf me 10000 yen.
3711199	Lui si è inventato una scusa.	3167141	Hij vond een excuus uit.
1828224	Io mi devo lavare i denti.	603657	Ik moet mijn tanden poetsen.
8023946	Perché mi devo vestire elegante?	8545789	Waarom moet ik me netjes aankleden?
3486870	Io non ti aspettavo.	6218509	Ik had je niet verwacht.
2914456	"Il Sud Africa si chiama ""Suid-Afrika"" in afrikaans."	7462756	"Zuid-Afrika wordt ""Suid-Afrika"" genoemd in het Afrikaans."
2585080	Non ci abita nessuno in questa casa.	664368	Er woont niemand in dit huis.
3526879	Tom si lavò i denti.	7066222	Tom poetste zijn tanden.
3758581	Indovinate cosa mi ha detto.	7814694	Raad eens wat hij me heeft verteld.
11913342	Ogni errore mi ha resa più forte.	2348909	Elke fout maakte me sterker.
1516907	Nella stanza quindici non ci sono tovaglie.	4653044	Er zijn geen handdoeken in kamer vijftien.
2433165	Io mi sono scusata.	4170721	Ik heb me verontschuldigd.
6536045	Tom si voleva sposare con me.	8427324	Tom wilde met me trouwen.
1142782	Volevo chiamarla, però mi sono scordato.	2028244	Ik was van plan haar te bellen, maar ik ben het vergeten.
2523791	Non ci sono limiti.	4296116	Er is geen limiet.
4463653	Io mi chiedo chi siano loro.	12342110	Ik vraag me af wie ze zijn.
6905576	Mary mi disse che era depressa.	11569191	Mary vertelde me dat ze depressief was.
3566945	Perché non mi ama più?	3039184	Waarom houdt ze niet meer van me?
5389878	Io mi sono sposata ieri.	8996974	Ik ben gisteren getrouwd.
5389876	Io mi sono sposato ieri.	8996974	Ik ben gisteren getrouwd.
2170635	Non mi piacciono i film dell'orrore.	6022718	Ik hou niet van griezelfilms.
1255792	Lei mi evita.	774463	Ze ontwijkt mij.
2975458	Ora mi dice la verità.	3301089	Nu vertelt hij mij de waarheid.
3144393	Non si è mai preoccupato molto di me.	3052477	Hij heeft nooit veel van mij gehouden.
5284219	Noi ci siamo perse.	7898790	We zijn verdwaald.
377597	Non si può vivere senza l'ossigeno.	631367	Zonder zuurstof kun je niet leven.
5248097	Non mi piacciono i ragni.	7536299	Ik hou niet van spinnen.
410827	Lei mi ha raccontato una storia interessante.	846720	Ze vertelde me een interessant verhaal.
1980247	"Il Marocco si chiama ""Meṛṛuk"" in berbero."	7462557	"Marokko wordt ""Meṛṛuk"" genoemd in het Berbers."
1751045	Mi dispiace, io ti amo.	398789	Het spijt me, ik hou van je.
1389056	Lui si è arrabbiato.	859800	Hij werd kwaad.
10846310	Se si mescola il colore blu al rosso si ottiene il porpora.	7769399	Als je blauw en rood mengt, krijg je violet.
724551	Non mi piace la giacca rossa.	1473614	Ik vind het rode jasje niet leuk.
707927	Di cosa si tratta?	7943294	Waar gaat het over?
2199952	Lui mi ha spiegato la regola.	2244293	Hij heeft mij de regel uitgelegd.
3375199	Non ti ho tradita, idiota!	11565705	Ik heb je niet verraden, idioot!
3157173	Non mi fido dei politici.	8442981	Ik vertrouw politici niet.
2001855	Non ti ho mai visto.	7949412	Ik heb je nooit gezien.
1828228	Bisogna che io mi lavi i denti.	603657	Ik moet mijn tanden poetsen.
1272812	La stanza si sta scaldando.	7684722	De kamer is aan het opwarmen.
6905575	Mary mi ha detto che era depressa.	11569191	Mary vertelde me dat ze depressief was.
7074665	Tom mi ha salvato la vita.	7076074	Tom heeft mijn leven gered.
6920627	Tom mi insegnò a sciare.	9685506	Tom leerde me skiën.
1552018	Noi ci divertiremo molto.	1478128	We gaan veel plezier beleven.
2695191	Io mi chiamo Henry.	1714243	Mijn naam is Henry.
2032176	Non mi piace la scienza.	810480	Ik hou niet van wetenschap.
1566122	Lui si ubriacò molto.	859749	Hij werd erg dronken.
2566581	Lui si è laureato all'Università di Tokyo.	699715	Hij haalde zijn diploma aan de universiteit van Tokio.
653891	Quello non mi sorprende.	656461	Dat is geen verrassing voor mij.
3505216	Non mi cercare.	3523045	Kom me niet zoeken.
5380184	Tom ti aspetterà.	7549068	Tom zal op je wachten.
5601856	Le Alpi si trovano al centro dell'Europa.	1532718	De Alpen liggen in het midden van Europa.
4879036	È quello che ti ha detto Tom?	12451816	Heeft Tom je dat verteld?
707236	La storia si ripete.	815501	De geschiedenis herhaalt zich.
1991300	La sorella di George mi ha fatto qualche sandwich.	4208941	George's zuster heeft een paar sandwiches voor me gemaakt.
4693	Ah! Se fossi ricco, mi comprerei una casa in Spagna.	418243	Ah! Als ik rijk zou zijn, zou ik voor mezelf een huis kopen in Spanje.
3102246	I miei genitori mi amano davvero.	2355720	Mijn ouders houden echt van mij.
3770323	Il ristorante si trova al piano terra.	4177725	Het restaurant bevindt zich op de benedenverdieping.
11253513	Tom e Mary si amano moltissimo.	11623566	Tom en Mary houden heel veel van elkaar.
1260405	Non ti parlo.	4698126	Ik spreek niet met jou.
5512050	Non ti ho mentito.	12426485	Ik heb je niet voorgelogen.
2219842	Perché ti stai spogliando?	7804376	Waarom kleed je je uit?
4554	Guarda bene. Ora ti mostro come si fa.	397253	Kijk goed. Ik zal je laten zien hoe je dit doet.
3884399	"La Polonia si chiama ""Polska"" in polacco."	7462577	"Polen wordt ""Polska"" genoemd in het Pools."
3526022	Non mi piace per niente.	3615288	Ik mag haar helemaal niet.
2680751	Qualcuno mi ha salvato la vita.	8538474	Iemand heeft mijn leven gered.
383758	La sua memoria mi sorprende.	736293	Zijn geheugen verrast me.
969345	In Giappone ci sono quattro stagioni.	9754356	In Japan zijn er vier seizoenen.
3884425	"L'Ucraina si chiama ""Ukraina"" in ucraino."	7462429	"Oekraïne wordt ""Ukraina"" genoemd in het Oekraïens."
426484	Non ci sono molti clienti oggi.	752001	Er zijn niet veel klanten vandaag.
946692	Non mi ricordo quando e dove ti ho incontrato.	774621	Ik herinner mij niet waar en wanneer ik u ontmoet heb.
2809119	Non mi piace.	4809374	Ik hou er niet van.
2809120	Lui non mi piace.	6066296	Ik mag hem niet.
756481	Alcuni amici mi hanno invitato a cena.	3681325	Een paar vrienden hebben me voor het avondeten uitgenodigd.
3155058	"La Romania si chiama ""România"" in rumeno."	7462578	"Roemenië wordt ""România"" genoemd in het Roemeens."
769362	Ho dei gusti semplicissimi, mi accontento sempre del meglio.	699072	Ik heb de meest eenvoudige smaak. Ik ben altijd tevreden met het beste.
2676781	Come si sentiva ieri?	2676801	Hoe voelde zij zich gisteren?
566098	"Come si scrive ""Eyjafjallajökull""?"	7303803	"Hoe schrijf je ""Eyjafjallajökull""?"
3883983	"La Corea del Nord si chiama ""Chosŏn"" in coreano."	7462647	"Noord-Korea wordt ""Chosŏn"" genoemd in het Koreaans."
6063293	Cosa succede se ci catturano?	6080390	Wat gebeurt er, als we betrapt worden?
2509841	Imparando il tedesco, si devono sapere quattro casi. Questi casi sono nominativo, genitivo, dativo e accusativo.	8837602	Bij het leren van het Duits moet men vier naamvallen kennen. Deze naamvallen zijn de nominatief, genitief, datief en accusatief.
884276	La riparazione della mia bicicletta mi è costata mille yen.	701899	De herstelling van mijn fiets kostte mij duizend yen.
2685469	Quanto mi piace questo pilota!	2685478	Wat hou ik van deze piloot!
3883960	"Il Marocco si chiama ""Al-Maghrib"" in arabo."	7462644	"Marokko wordt ""Al-Maghrib"" genoemd in het Arabisch."
3244825	Gli opposti si attraggono.	9118346	Tegenpolen trekken elkaar aan.
6442718	Tom ci aiuterà oggi.	10660160	Tom helpt ons vandaag.
3883823	"L'India si chiama ""Bharat"" in hindi."	7462461	"India wordt ""Bharat"" genoemd in het Hindi."
6902386	Tua madre ti ama.	8628649	Je moeder houdt van je.
2189192	Sfortunatamente si è rotto una gamba nell'incidente.	9127284	Helaas brak hij bij het ongeval zijn been.
4526581	Chi ti insegna il tedesco?	3601139	Wie leert jou Duits?
9018764	Quanti chilometri ci sono da Mosca a San Pietroburgo?	9751414	Hoeveel kilometer is het van Moskou naar Sint-Petersburg?
2260056	La banca si rifiutò di dare loro altro credito.	3793438	De bank weigerde hun meer krediet te geven.
980897	Non ci sono errori nella tua composizione.	417284	Er staan geen fouten in je opstel.
4347518	Sua madre ti sta chiamando.	9715001	Zijn moeder belt je.
416612	Cosa devo fare ora che mi sono registrato?	416915	Wat moet ik doen, nu ik me aangemeld heb?
6396390	Penso che ci sia qualcuno in cantina.	10325782	Ik denk dat er iemand in de kelder is.
2833317	Come si munge una vacca?	5351787	Hoe melk je een koe?
2219845	Perché vi state spogliando?	7804378	Waarom kleden jullie je uit?
3351446	Dove si trova un telefono pubblico?	8560237	Waar is een openbare telefoon?
1081551	Mi ci vorrebbe una vita per spiegare tutto.	379012	Ik zou een eeuwigheid bezig zijn om alles uit te leggen.
4581330	Se sapessi quanto ti penso!	4587616	Als je eens zou weten hoeveel ik aan je denk!
607767	La Bibbia ci dice di amare i nostri vicini e anche di amare i nostri nemici; probabilmente perché generalmente sono le stesse persone.	422331	De Bijbel draagt ons op om onze naasten én onze vijanden lief te hebben; waarschijnlijk omdat dat in het algemeen dezelfde personen zijn.
4628	Ecco la città di cui ti parlavo.	1158071	Dit is de stad waarover ik je verteld heb.
527172	Tutti i musei della mia città si trovano in centro.	527174	Alle musea in mijn stad bevinden zich in het centrum.
3929778	Dove si trova un ristorante halal?	7694895	Waar is een halal restaurant?
401645	La gravità è la forza naturale per la quale gli oggetti si attraggono fra di loro.	1566588	Zwaartekracht is de natuurkracht waardoor voorwerpen elkaar aantrekken.
1217342	Tom non ha nulla da perdere.	8453869	Tom heeft niets te verliezen.
2838244	Io non so niente riguardo a Linux.	2657411	Ik weet niets over Linux.
1177725	Tom non aveva niente da aggiungere.	9333884	Tom had er niets aan toe te voegen.
4247678	Tom non ha per niente fame.	9085085	Tom heeft helemaal geen honger.
2585079	Non ci vive nessuno in questa casa.	664368	Er woont niemand in dit huis.
6164577	A Tom non piace per niente il poker.	11944678	Tom houdt helemaal niet van poker.
2495755	Non succederà niente fino alle 2:30.	4435440	Tot half drie zal er niets gebeuren.
10584738	Non è successo nulla finora.	12159355	Tot nog toe is er niets gebeurd.
3553498	Non mi aspetto nulla da lei.	5538811	Ik verwacht niets van u.
3553497	Io non mi aspetto niente da te.	950822	Ik verwacht niets van jou.
3553503	Non mi aspetto niente da lei.	5538811	Ik verwacht niets van u.
4593	Non mi aspetto niente da te.	950822	Ik verwacht niets van jou.
3421909	Non ho niente da fare.	3532150	Ik heb niets te doen.
2681643	Non hai fatto niente di male.	7949537	Je hebt niets verkeerd gedaan.
1062163	Non sono ricco e non desidero esserlo.	8589172	Ik ben niet rijk en wil dat ook niet zijn.
4207859	Io non conoscevo per niente quella donna.	413289	Ik kende die vrouw helemaal niet.
2415665	Io non dirò a nessuno di Tom.	12137863	Ik zal niemand over Tom vertellen.
2495755	Non succederà niente fino alle 2:30.	4084063	Tot twee uur dertig zal er niets gebeuren.
2495754	Non succederà nulla fino alle 2:30.	4435440	Tot half drie zal er niets gebeuren.
10869805	Non so quasi nulla su di lui.	10869817	Ik weet bijna niets over hem.
5427142	Io non voglio vedere nessuno oggi.	450649	Vandaag wil ik niemand zien.
3282575	L'unica cosa che impariamo dalla storia è che non impariamo nulla dalla storia.	4263095	Het enige dat we van de geschiedenis leren, is dat we niets van de geschiedenis leren.
2681647	Tu non hai fatto nulla di male.	7949537	Je hebt niets verkeerd gedaan.
945445	Non c'era nessuno nella camera.	7814810	Er was niemand in de kamer.
6849636	Non capisco per nulla il francese.	8341538	Ik begrijp helemaal niets van Frans.
7308151	Non farò niente di stupido.	9736316	Ik zal niets doms doen.
750414	Non voglio vedere nessuno oggi.	450649	Vandaag wil ik niemand zien.
6164578	A Tom non piace per nulla il poker.	11944678	Tom houdt helemaal niet van poker.
2681646	Non hai fatto nulla di male.	7949537	Je hebt niets verkeerd gedaan.
7308151	Non farò niente di stupido.	9736317	Ik zal niets stoms doen.
379747	Non capisco per niente il tedesco.	2823285	Ik begrijp absoluut niets van Duits.
4598	Non c'è nessuna soluzione.	844535	Er is geen oplossing.
1079431	Non c'è niente che possiamo fare.	8540282	Daar is niets aan te doen.
4207860	Non conoscevo per nulla quella donna.	413289	Ik kende die vrouw helemaal niet.
2809124	Non posso giocare a questo gioco. Non mi piace.	6066300	Ik kan dit spel niet spelen. Ik hou er niet van.
3282576	L'unica cosa che impariamo dalla storia è che non impariamo niente dalla storia.	4263095	Het enige dat we van de geschiedenis leren, is dat we niets van de geschiedenis leren.
1217341	Tom non ha niente da perdere.	8453869	Tom heeft niets te verliezen.
4207858	Non conoscevo per niente quella donna.	413289	Ik kende die vrouw helemaal niet.
5598941	Non sono ricco e non voglio esserlo.	8589172	Ik ben niet rijk en wil dat ook niet zijn.
10869804	Non so quasi niente su di lui.	10869817	Ik weet bijna niets over hem.
7308152	Non farò nulla di stupido.	9736317	Ik zal niets stoms doen.
2495754	Non succederà nulla fino alle 2:30.	4084063	Tot twee uur dertig zal er niets gebeuren.
2415664	Non dirò a nessuno di Tom.	12137863	Ik zal niemand over Tom vertellen.
1177724	Tom non aveva nulla da aggiungere.	9333884	Tom had er niets aan toe te voegen.
2809125	Io non posso giocare a questo gioco. Non mi piace.	6066300	Ik kan dit spel niet spelen. Ik hou er niet van.
945444	Non c'era nessuno nella stanza.	7814810	Er was niemand in de kamer.
2610457	Tom non ha mangiato nulla ieri.	2247275	Tom heeft gisteren niets gegeten.
2838243	Non so niente riguardo a Linux.	2657411	Ik weet niets over Linux.
1541506	Sono convinto che non ha fatto nulla di male.	7833804	Ik ben er zeker van, dat hij niets verkeerds gedaan heeft.
2838247	Io non so nulla riguardo a Linux.	2657411	Ik weet niets over Linux.
7308152	Non farò nulla di stupido.	9736316	Ik zal niets doms doen.
10584737	Non è successo niente finora.	12159355	Tot nog toe is er niets gebeurd.
2610456	Tom non ha mangiato niente ieri.	2247275	Tom heeft gisteren niets gegeten.
4247679	Tom non ha per nulla fame.	9085085	Tom heeft helemaal geen honger.
3421910	Io non ho niente da fare.	3532150	Ik heb niets te doen.
2681645	Tu non hai fatto niente di male.	7949537	Je hebt niets verkeerd gedaan.
8392561	Non voglio nulla per Natale.	9525974	Ik wil niets voor Kerstmis.
3535089	Non conosci nessuno qui.	8437829	Je kent hier niemand.
4207861	Io non conoscevo per nulla quella donna.	413289	Ik kende die vrouw helemaal niet.
2838246	Non so nulla riguardo a Linux.	2657411	Ik weet niets over Linux.
1758348	Non sembra per niente buono.	3236176	Dat ziet er helemaal niet goed uit.
634702	Non ci manca nulla per essere felici.	1065774	Er ontbreekt ons niets om gelukkig te zijn.
389683	Non c'è niente di più prezioso dell'amore.	389853	Er is niets waardevoller dan de liefde.
2687382	Non aspettavo nessun regalo.	4945941	Ik had geen geschenk verwacht.
1535323	Non c'è niente da temere.	12130640	Er valt niets te vrezen.
1329776	Non c'è nessun dubbio.	7897987	Er is geen twijfel.
963948	Le mie novità non sono importanti per quelli che non si interessano di sport.	916248	Mijn nieuws is niet belangrijk voor diegenen, die zich niet interesseren voor sport.
6063296	Non ho mai visto nessuno morire.	6080392	Ik heb nog nooit iemand zien sterven.
727003	L'utente non è il proprietario di questi dati salvati. Non sarà possibile salvare i progressi di gioco. I trofei verranno disattivati.	727006	Je bent geen eigenaar van dit opslagbestand. Je kunt je voortgang niet opslaan. Trofeeën zijn niet beschikbaar.
4316651	Tu non sai niente di me.	3702050	Je weet niets over mij.
389763	Apprendiamo per esperienza che gli uomini non apprendono mai niente per esperienza.	394914	We leren uit ervaring dat mensen nooit iets leren uit ervaring.
508215	Il passato può solo essere conosciuto, non cambiato. Il futuro può essere solo cambiato, non conosciuto.	2920629	Het verleden kan men kennen, maar niet veranderen. De toekomst kan men veranderen, maar niet kennen.
3364153	Non c'è nessuno qui.	6275048	Er is niemand hier.
1860308	Io non so per niente come giocare a golf.	4640653	Ik weet überhaupt niet hoe je golf speelt.
1752154	Qualunque cosa accada, non dirò niente a nessuno.	1916573	Wat er ook gebeurt, ik zal er niemand iets over vertellen.
422348	So che pensi di avere capito quello che pensavi che avessi detto, ma non sono sicuro che tu abbia realizzato che quello che hai inteso non è quello che volevo dire.	422946	Ik weet dat je denkt dat je hebt begrepen wat je dacht dat ik gezegd heb, maar ik weet niet zeker of je je wel gerealiseerd hebt dat wat jij gehoord hebt niet is wat ik bedoelde.
350588	Non ho niente a che fare con ciò.	605386	Ik heb er niets mee te maken.
8562336	Non voglio vedere nessuno morire.	12326273	Ik wil niemand zien sterven.
1237473	A parte le carote, non c'è nulla che non mangi.	2226280	Behalve wortelen is er niets dat hij niet eet.
691447	Jingle Bells, la nota canzone del periodo natalizio, in realtà non è una canzone di Natale. Il testo non dice nulla riguardo il Natale.	4916166	„Jingle Bells”, het bekende kerstlied, heeft in werkelijkheid niets met Kerstmis te maken. In de tekst is er geen enkele verwijzing naar het kerstfeest.
367967	Non mangio né carne, né pesce, niente frutti di mare, né brodo di origine animale.	367974	Ik eet geen vlees, geen vis en geen zeevruchten, en ook geen vleesbouillon.
1246849	A causa della densa nebbia non si vedeva nessun uomo.	2811790	Door de dichte mist, was er geen mens te zien.
4737499	Lo straniero non sapeva per niente il giapponese.	1521811	De buitenlander kende helemaal geen Japans.
1113261	Tom non capisce per niente il francese.	4350127	Tom begrijpt helemaal niets van Frans.
426486	Non c'è nessuno seduto qui.	646290	Niemand zit hier.
2728982	Noi abbiamo guardato il cielo, ma non abbiamo visto nessuna stella.	4219890	We keken naar de hemel maar konden geen sterren zien.
8012366	Perché non c'è nessuno qui?	8438783	Waarom is er niemand hier?
5610853	Se non fosse stato per l'iPhone, non sarei riuscito ad imparare il giapponese.	12496570	Zonder de iPhone had ik nooit Japans kunnen leren.
5953693	Se non hai niente da dire, non parlare.	8210865	Als je niets te zeggen hebt, zeg dan niets.
2687382	Non aspettavo nessun regalo.	2687385	Ik heb geen kado verwacht.
3088056	Io non posso abbracciare Taninna. Non mi ama più.	3606645	Ik kan Taninna niet omhelzen. Ze houdt niet meer van me.
3614806	Non sei per niente stupido.	3615282	Je bent helemaal niet dom.
389643	Non c'è niente di prezioso come l'amore.	389854	Er is niets zo waardevol als de liefde.
350397	Non fece niente di male.	580253	Hij heeft niets slechts gedaan.
679264	Non li ho visti da nessuna parte.	4269569	Ik heb ze nergens gezien.
3479336	Se non sei in grado di ridere di quello che fai, allora è meglio che non lo fai.	7934647	Als je niet kunt lachen om wat je doet, dan kun je het beter niet doen.
