it_id	italian	nl_id	dutch
3435238	È sicuramente possibile.	4073667	Dat is zeker mogelijk.
1588190	Ha accettato il mio regalo.	9535900	Hij accepteerde mijn cadeau.
4566292	Guarda ancora.	4521600	Kijk nog eens.
4455	È troppo caro!	377762	Dat is te duur!
1157646	Leggi!	1223518	Lees!
1446428	Raccontami una bella storia.	980589	Vertel mij een mooi verhaal.
637635	Andiamo a casa!	378311	Laten we naar huis gaan!
3139219	È allergico al lattice.	7644012	Hij is allergisch voor latex.
428057	Ho spesso degli incubi.	1402111	Ik heb vaak nare dromen.
1598849	Sono le dieci e venti.	384008	Het is tien voor half elf.
917777	È strano.	9631777	Hij is raar.
4912406	Stavo aspettando il momento giusto.	4559190	Ik wachtte op het juiste moment.
1464074	Dovrei essere a scuola.	1478246	Ik moet eigenlijk op school zijn.
5679343	Mancano tre giorni a Natale.	9525938	Er zijn nog drie dagen tot Kerstmis.
737646	Sono John.	1719764	Ik ben John.
388495	Avete difficoltà a capire quello che dicono le donne o i bambini piccoli?	409622	Heeft u moeite te verstaan wat vrouwen of kleine kinderen tegen u zeggen?
2703683	Parli in italiano?	384954	Spreekt u Italiaans?
5930543	Potete aggiornare il nostro software?	7811519	Kunnen jullie onze software updaten?
511275	Fidati di me, disse.	4274417	Vertrouw me, zei hij.
3334089	È troppo tardi?	8167524	Is het te laat?
10485901	Odio il sapore dello zenzero.	10727578	Ik haat de smaak van gember.
1687518	È la ragazza dei miei sogni.	3778732	Ze is het meisje van mijn dromen.
8495535	Ha l'artrite.	9032083	Hij heeft artritis.
3490904	Amo il venerdì!	3491562	Ik hou van vrijdag!
5536505	Siamo soddisfatti del risultato.	12732354	We zijn blij met het resultaat.
384564	Piove a catinelle!	384557	Het regent pijpenstelen.
8922031	È immune.	9033724	Hij is immuun.
1827923	Abitiamo al sesto piano.	4182292	Wij wonen op de zesde verdieping.
8937048	È andata nella sua camera da letto.	9210194	Ze ging naar haar slaapkamer.
3087317	Sarò felice di rispondere alla sua domanda.	3145673	Ik zal uw vraag graag beantwoorden.
837821	Vorrei fare qualcos'altro oggi.	838117	Ik zou iets anders willen doen vandaag.
8303164	Parla raramente di sé.	8303202	Hij spreekt zelden over zichzelf.
8383161	Guarda la televisione ogni giorno?	3584158	Kijkt hij iedere dag tv?
1763478	Pensa di essere un genio.	2235011	Ze denkt dat ze een genie is.
12748724	Dammi mille baci.	12748878	Geef mij duizend kussen.
409637	È perché la velocità della luce è superiore a quella del suono che alcune persone sembrano brillanti prima di suonare stupide.	409650	Dat sommige mensen er geniaal uitzien voordat ze dom klinken, komt doordat licht zich sneller voortplant dan geluid.
1214830	Abita vicino alla scuola.	423289	Hij woont in de buurt van de school.
999575	Alza un po' il volume della radio.	462354	Zet de radio een beetje harder.
758489	Suggerisco di rimanere a casa e guardare la TV.	823040	Ik stel voor dat we thuisblijven en tv kijken.
340651	È molto romantico!	941675	Dat is heel romantisch!
379531	È felice.	4036603	Zij is gelukkig.
962579	Sono appena tornato da scuola.	384463	Ik ben net terug uit school.
1814954	Sto bene, grazie. E lei?	3125185	Het gaat goed met me, dank u. En met u?
11559259	Sono finito in ospedale ieri sera.	11562016	Ik ben gisteravond in het ziekenhuis beland.
1525099	Riesci a ricordare il suo nome?	1478218	Kun je je zijn naam herinneren?
2443653	Sono passati sei anni da quando ho iniziato a studiare l'inglese.	6049498	Het is zes jaar geleden dat ik begonnen ben Engels te studeren.
7488035	È un villaggio.	11048790	Het is een dorp.
2581727	Ho una macchina blu.	8487042	Ik heb een blauwe auto.
8785338	Incoraggia gli altri.	8917741	Moedig anderen aan.
723351	Sto cercando un assistente.	6606674	Ik zoek een assistent.
1272813	La camera si sta scaldando.	7684722	De kamer is aan het opwarmen.
3338997	Lui si arrabbia facilmente con le cose futili.	9136570	Hij maakt zich gemakkelijk boos over futiliteiten.
380445	Tutti ti vogliono conoscere, sei famoso!	378372	Iedereen wil u ontmoeten, u bent een beroemdheid!
2823666	Tom mi ha chiesto il mio numero di telefono.	3199748	Tom vroeg me mijn telefoonnummer.
3375199	Non ti ho tradita, idiota!	11565705	Ik heb je niet verraden, idioot!
5151434	Tom non mi ha vista.	9061153	Tom heeft me niet gezien.
1828228	Bisogna che io mi lavi i denti.	603657	Ik moet mijn tanden poetsen.
4915697	Io ho fatto tutto quello che mi hai chiesto di fare.	4350150	Ik heb alles gedaan wat je me gevraagd hebt.
5793145	Non mi piace Tom.	8537580	Ik vind Tom niet leuk.
12040531	C'è una donna che vi vuole vedere.	12447951	Er is een vrouw die je wil zien.
2156085	Ed è vero che la tua ragazza giapponese si chiama Tatoeba?	8434524	En klopt het dat je Japanse vriendin Tatoeba heet?
7748980	Loro si vantano!	8848632	Ze schepten op!
2696734	Lui era il tipo di persona di cui ci si poteva fidare.	4240402	Hij was dat soort persoon dat je kunt vertrouwen.
2585079	Non ci vive nessuno in questa casa.	664368	Er woont niemand in dit huis.
2784655	Io mi riferisco alla conversazione telefonica del 12.4.	3763601	Ik verwijs naar ons telefonisch onderhoud van twaalf april.
4998561	Non sapevo che ci fosse uno stagno qui.	3552762	Ik wist niet dat hier een vijver was.
1516905	Non ci sono tovaglie nella stanza quindici.	4653044	Er zijn geen handdoeken in kamer vijftien.
4215414	Noi ti cercheremo un altro avvocato.	6093347	We zullen je een andere advocaat zoeken.
1723515	Lui mi salvò la vita.	2241253	Hij heeft mijn leven gered.
1246308	Sembra che ci conosca.	592260	Hij lijkt ons te kennen.
1389056	Lui si è arrabbiato.	859800	Hij werd kwaad.
827299	Io ti odio.	827307	Ik haat je.
611000	Egli mi ha insultato senza motivo.	816140	Hij heeft mij zonder reden beledigd.
1142783	Volevo chiamarla, però mi sono scordata.	2028244	Ik was van plan haar te bellen, maar ik ben het vergeten.
6920626	Tom mi ha insegnato a sciare.	9685506	Tom leerde me skiën.
8023946	Perché mi devo vestire elegante?	8545789	Waarom moet ik me netjes aankleden?
4710904	Lui si interessa alla musica.	8293797	Hij interesseert zich voor muziek.
7783809	Tom mi diede un impiego.	9520936	Tom gaf me een baan.
3583098	Tom si tolse la camicia.	1483044	Tom trok zijn shirt uit.
7892927	Tom non mi ha aiutato.	9499302	Tom heeft me niet geholpen.
2424330	Mangia la tua zuppa prima che si raffreddi.	4851976	Eet je soep voor zij koud wordt.
4953428	Spero che Tom si ricordi questo.	8437873	Ik hoop dat Tom zich dit herinnert.
484891	Come si chiama questa via?	377775	Hoe heet deze straat?
2512152	Non ti preoccupare del passato.	375858	Maak je geen zorgen over het verleden.
1850479	Io mi chiamo Tom.	4979988	Ik heet Tom.
666747	Di solito mi alzo alle sei.	462201	Ik sta gewoonlijk op om 6 uur.
4975874	Questo mi cambiò la vita.	4927482	Het heeft mijn leven veranderd.
1723512	Lui mi ha salvato la vita.	2241253	Hij heeft mijn leven gered.
2762321	Il bambù si sta piegando con il peso della neve.	743426	De bamboe buigt onder het gewicht van de sneeuw.
5599581	La partita non si è tenuta.	1480383	De wedstrijd vond niet plaats.
3157174	Io non mi fido dei politici.	8442981	Ik vertrouw politici niet.
4373855	Qualcuno qua si fida di Tom?	10891234	Vertrouwt er hier iemand Tom?
1991300	La sorella di George mi ha fatto qualche sandwich.	4208938	De zuster van George heeft me een paar sandwiches gemaakt.
7218821	Tutti mi conoscono.	9520930	Iedereen kent me.
2191483	Loro si stanno baciando.	9275192	Zij zijn aan het zoenen.
3114638	Non mi aspetto nulla da te.	950822	Ik verwacht niets van jou.
929387	È nella disgrazia che si riconoscono gli amici.	422432	In nood leert men zijn vrienden kennen.
3758581	Indovinate cosa mi ha detto.	7814694	Raad eens wat hij me heeft verteld.
3042980	Lui mi conosce?	8175592	Kent hij mij?
1435828	Quale lingua si parla negli Stati Uniti?	1479008	Welke taal spreken ze in de VS?
3553503	Non mi aspetto niente da lei.	5538811	Ik verwacht niets van u.
2368517	Io non mi sbaglio mai.	10943474	Ik heb nooit ongelijk.
2032176	Non mi piace la scienza.	810480	Ik hou niet van wetenschap.
3567103	"Tu mi ami? ""Non lo so."""	5808234	''Houd je van me?'' ''Ik weet het niet.''
2526284	Quando ti sei alzata?	5904895	Wanneer ben je opgestaan?
2809125	Io non posso giocare a questo gioco. Non mi piace.	6066300	Ik kan dit spel niet spelen. Ik hou er niet van.
2975459	Ora lui mi dice la verità.	3301089	Nu vertelt hij mij de waarheid.
4617349	Noi ci amavamo.	8580670	We hielden van elkaar.
2607676	Tom e Mary solitamente si parlano in francese.	3611131	Tom en Maria spreken gewoonlijk Frans met elkaar.
1739584	Io ti posso insegnare come combattere.	2088995	Ik kan je leren vechten.
5775367	Tom mi aiuterà.	8324857	Tom gaat me helpen.
8692015	Non ci sono quasi fiori nel nostro giardino.	12384960	Er staan vrijwel geen bloemen in onze tuin.
2374934	Tom mi aiutò.	7798990	Tom hielp me.
4476	Non mi piace imparare i verbi irregolari.	377849	Ik hou niet van onregelmatige werkwoorden leren.
3883864	"Il Camerun si chiama ""Cameroon"" in inglese."	7462506	"Kameroen wordt ""Cameroon"" genoemd in het Engels."
3883821	"La Turchia si chiama ""Türkiye"" in turco."	7462458	"Turkije wordt ""Türkiye"" genoemd in het Turks."
1949060	La nostra vicina si è rotta una costola.	8775155	Onze buurvrouw heeft een rib gebroken.
3883824	"La Francia si chiama ""France"" in francese."	7462464	"Frankrijk wordt ""France"" genoemd in het Frans."
4477655	Qualcosa mi dice che lei le abbia trovate.	4477663	Iets vertelt mij dat zij hen gevonden heeft.
2680751	Qualcuno mi ha salvato la vita.	8538474	Iemand heeft mijn leven gered.
5820205	Non penso che si possa fare qualcosa.	12611578	Ik denk niet dat er iets gedaan kan worden.
3883931	"Il Lussemburgo si chiama ""Luxemburg"" in tedesco."	7323231	"Luxemburg wordt ""Luxemburg"" in het Duits genoemd."
3884401	"La Serbia si chiama ""Srbija"" in serbo."	7462581	"Servië wordt ""Srbija"" genoemd in het Servisch."
3883837	"La Svizzera si chiama ""Schweiz"" in tedesco."	7462494	"Zwitserland wordt ""Schweiz"" genoemd in het Duits."
410190	Una volta, Zhuangzi sognò di essere una farfalla, ma quando si svegliò, non era sicuro se era Zhuangzi che aveva sognato di essere una farfalla o se era una farfalla che ora stava sognando di essere Zhuangzi.	649996	Eens droomde Zhuangzi dat hij een vlinder was, maar toen hij wakker werd, was hij niet zeker of hij Zhuangzi was die gedroomd had een vlinder te zijn, of dat hij een vlinder was die nu droomde Zhuangzi te zijn.
1002203	Quale colore ti piace di più, il blu o il rosso?	3383658	Van welke kleur hou je het meest? Van blauw of van rood?
3883828	"La Spagna si chiama ""España"" in spagnolo."	7462474	"Spanje wordt ""España"" genoemd in het Spaans."
4721146	L'autobus si ferma qui?	4352540	Stopt de bus hier?
7017038	Tom mi disse che vinse.	9669217	Tom zei me dat hij had gewonnen.
969345	In Giappone ci sono quattro stagioni.	9754356	In Japan zijn er vier seizoenen.
4462565	In autunno si vendemmia.	4462570	In de herfst wordt de wijn geoogst.
6979329	Tom si lava.	11005131	Tom wast zich.
1548583	Mi si sono rotte le acque.	7802178	Mijn vliezen zijn gebroken.
2695268	Salve, mi chiamo Omid.	3390241	Goedendag, mijn naam is Omid.
7749571	Tom, mi sei mancato così tanto!	12201101	Tom, ik heb je zo gemist!
1607445	Mio nonno mi diede un regalo di compleanno.	9535971	Mijn grootvader heeft me een verjaardagscadeautje gegeven.
3883983	"La Corea del Nord si chiama ""Chosŏn"" in coreano."	7462647	"Noord-Korea wordt ""Chosŏn"" genoemd in het Koreaans."
3883826	"Il Belgio si chiama ""België"" in fiammingo."	7462472	"België wordt ""België"" genoemd in het Vlaams."
11311684	Più ti vedo, più ti amo.	11311694	Hoe vaker ik je zie, hoe meer ik van je hou.
5022532	Chi ti ha insegnato il tedesco?	8628642	Wie heeft je Duits geleerd?
375794	Questo mi ha fatto rizzare i capelli.	783439	Dat deed mijn haar recht komen.
11661799	L'alfabeto sloveno si compone di 25 lettere: a, b, c, č, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, š, t, u, v, z, ž.	11661750	Het Sloveense alfabet bestaat uit 25 letters: a, b, c, č, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, š, t, u, v, z, ž.
641836	Chi ti ha parlato di me?	9095398	Wie heeft jou over mij verteld?
962588	In altre parole, non mi piace lavorare con lui.	738637	Met andere woorden, ik werk niet graag met hem.
3505216	Non mi cercare.	3523045	Kom me niet zoeken.
6063293	Cosa succede se ci catturano?	6080390	Wat gebeurt er, als we betrapt worden?
3607602	"Il Regno Unito si chiama ""Rìoghachd Aonaichte"" in gaelico scozzese."	7462776	"Het Verenigd Koninkrijk wordt ""Rìoghachd Aonaichte"" genoemd in het Schots-Gaelisch."
566098	"Come si scrive ""Eyjafjallajökull""?"	7303803	"Hoe schrijf je ""Eyjafjallajökull""?"
5151469	Tom non ci ha ancora detto cosa vuole.	12739254	Tom heeft ons nog niet verteld wat hij wil.
3812218	Spero che tu ti rimetta presto.	8216047	Ik hoop dat je vlug beter wordt.
375355	Nessuno mi capisce.	377842	Niemand begrijpt me.
380658	Il signor Kato ci insegna l'inglese.	813655	Meneer Kato leert ons Engels.
426484	Non ci sono molti clienti oggi.	752001	Er zijn niet veel klanten vandaag.
1287836	Mio fratello mi ucciderà.	1485930	Mijn broer zal me vermoorden.
4693	Ah! Se fossi ricco, mi comprerei una casa in Spagna.	439276	O, als ik rijk was, kocht ik een huis in Spanje.
3351861	"L'espressione ""guerra santa"" non ti pare essa stessa ironica?"	7109583	"Vind je de term ""heilige oorlog"" niet ironisch?"
4508	Non mi piace la scuola.	378007	Ik vind school niet leuk.
946692	Non mi ricordo quando e dove ti ho incontrato.	774621	Ik herinner mij niet waar en wanneer ik u ontmoet heb.
3883889	"La Giordania si chiama ""Al-Urdun"" in arabo."	7462638	"Jordanië wordt ""Al-Urdun"" genoemd in het Arabisch."
2675292	Lei mi ha dato una camicia.	2675296	Zij heeft mij een shirt gegeven.
1002602	In un minuto ci sono sessanta secondi.	874448	Een minuut is zestig seconden.
2006193	Tu sei la cosa migliore che mi sia mai capitata.	1818113	Jij bent het beste wat me ooit overkomen is.
6604582	Chi mi accompagna a vedere un concerto stasera?	12052000	Wie gaat er met me mee naar een concert vanavond?
1254545	Domani si parte.	9022239	Morgen gaan we weg.
1721932	Quella canzone mi suona familiare.	836068	Dat liedje klinkt mij bekend in de oren.
4383741	La neve si scioglie.	7914789	De sneeuw smelt.
5380184	Tom ti aspetterà.	7549068	Tom zal op je wachten.
5444191	Tom si rade ogni mattina.	8449112	Tom scheert zich iedere morgen.
2676781	Come si sentiva ieri?	2676801	Hoe voelde zij zich gisteren?
3351446	Dove si trova un telefono pubblico?	8560237	Waar is een openbare telefoon?
2495754	Non succederà nulla fino alle 2:30.	4084063	Tot twee uur dertig zal er niets gebeuren.
4598	Non c'è nessuna soluzione.	844535	Er is geen oplossing.
945444	Non c'era nessuno nella stanza.	7814810	Er was niemand in de kamer.
2681647	Tu non hai fatto nulla di male.	7949537	Je hebt niets verkeerd gedaan.
379747	Non capisco per niente il tedesco.	2823285	Ik begrijp absoluut niets van Duits.
1541505	Sono convinta che non ha fatto niente di male.	7833804	Ik ben er zeker van, dat hij niets verkeerds gedaan heeft.
4593	Non mi aspetto niente da te.	950822	Ik verwacht niets van jou.
3553498	Non mi aspetto nulla da lei.	5538811	Ik verwacht niets van u.
2610456	Tom non ha mangiato niente ieri.	2247275	Tom heeft gisteren niets gegeten.
3421910	Io non ho niente da fare.	3532150	Ik heb niets te doen.
1177724	Tom non aveva nulla da aggiungere.	9333884	Tom had er niets aan toe te voegen.
10584738	Non è successo nulla finora.	12159355	Tot nog toe is er niets gebeurd.
7308152	Non farò nulla di stupido.	9736316	Ik zal niets doms doen.
6164578	A Tom non piace per nulla il poker.	11944678	Tom houdt helemaal niet van poker.
2681646	Non hai fatto nulla di male.	7949537	Je hebt niets verkeerd gedaan.
2838244	Io non so niente riguardo a Linux.	2657411	Ik weet niets over Linux.
10869804	Non so quasi niente su di lui.	10869817	Ik weet bijna niets over hem.
4247679	Tom non ha per nulla fame.	9085085	Tom heeft helemaal geen honger.
1541506	Sono convinto che non ha fatto nulla di male.	7833804	Ik ben er zeker van, dat hij niets verkeerds gedaan heeft.
2415665	Io non dirò a nessuno di Tom.	12137863	Ik zal niemand over Tom vertellen.
2610457	Tom non ha mangiato nulla ieri.	2247275	Tom heeft gisteren niets gegeten.
2585080	Non ci abita nessuno in questa casa.	664368	Er woont niemand in dit huis.
3421909	Non ho niente da fare.	3532150	Ik heb niets te doen.
7308151	Non farò niente di stupido.	9736317	Ik zal niets stoms doen.
2681645	Tu non hai fatto niente di male.	7949537	Je hebt niets verkeerd gedaan.
2495755	Non succederà niente fino alle 2:30.	4084063	Tot twee uur dertig zal er niets gebeuren.
1062163	Non sono ricco e non desidero esserlo.	8589172	Ik ben niet rijk en wil dat ook niet zijn.
945445	Non c'era nessuno nella camera.	7814810	Er was niemand in de kamer.
1899958	Non c'è nessuna risposta per la sua domanda.	3744629	Er is geen antwoord op uw vraag.
8392561	Non voglio nulla per Natale.	9525974	Ik wil niets voor Kerstmis.
7308152	Non farò nulla di stupido.	9736317	Ik zal niets stoms doen.
3282575	L'unica cosa che impariamo dalla storia è che non impariamo nulla dalla storia.	4263095	Het enige dat we van de geschiedenis leren, is dat we niets van de geschiedenis leren.
4207861	Io non conoscevo per nulla quella donna.	413289	Ik kende die vrouw helemaal niet.
750414	Non voglio vedere nessuno oggi.	450649	Vandaag wil ik niemand zien.
3282576	L'unica cosa che impariamo dalla storia è che non impariamo niente dalla storia.	4263095	Het enige dat we van de geschiedenis leren, is dat we niets van de geschiedenis leren.
4207860	Non conoscevo per nulla quella donna.	413289	Ik kende die vrouw helemaal niet.
4207858	Non conoscevo per niente quella donna.	413289	Ik kende die vrouw helemaal niet.
2838247	Io non so nulla riguardo a Linux.	2657411	Ik weet niets over Linux.
3553504	Io non mi aspetto niente da lei.	5538811	Ik verwacht niets van u.
2838243	Non so niente riguardo a Linux.	2657411	Ik weet niets over Linux.
2495755	Non succederà niente fino alle 2:30.	4435440	Tot half drie zal er niets gebeuren.
10869805	Non so quasi nulla su di lui.	10869817	Ik weet bijna niets over hem.
5598941	Non sono ricco e non voglio esserlo.	8589172	Ik ben niet rijk en wil dat ook niet zijn.
10584737	Non è successo niente finora.	12159355	Tot nog toe is er niets gebeurd.
7308151	Non farò niente di stupido.	9736316	Ik zal niets doms doen.
2809124	Non posso giocare a questo gioco. Non mi piace.	6066300	Ik kan dit spel niet spelen. Ik hou er niet van.
2495754	Non succederà nulla fino alle 2:30.	4435440	Tot half drie zal er niets gebeuren.
8392560	Non voglio niente per Natale.	9525974	Ik wil niets voor Kerstmis.
1217342	Tom non ha nulla da perdere.	8453869	Tom heeft niets te verliezen.
2415664	Non dirò a nessuno di Tom.	12137863	Ik zal niemand over Tom vertellen.
3535089	Non conosci nessuno qui.	8437829	Je kent hier niemand.
6849636	Non capisco per nulla il francese.	8341538	Ik begrijp helemaal niets van Frans.
3553499	Io non mi aspetto nulla da lei.	5538811	Ik verwacht niets van u.
3535090	Tu non conosci nessuno qui.	8437829	Je kent hier niemand.
6849633	Non capisco per niente il francese.	8341538	Ik begrijp helemaal niets van Frans.
1177725	Tom non aveva niente da aggiungere.	9333884	Tom had er niets aan toe te voegen.
4207859	Io non conoscevo per niente quella donna.	413289	Ik kende die vrouw helemaal niet.
4247678	Tom non ha per niente fame.	9085085	Tom heeft helemaal geen honger.
1079431	Non c'è niente che possiamo fare.	8540282	Daar is niets aan te doen.
6164577	A Tom non piace per niente il poker.	11944678	Tom houdt helemaal niet van poker.
5610853	Se non fosse stato per l'iPhone, non sarei riuscito ad imparare il giapponese.	12496570	Zonder de iPhone had ik nooit Japans kunnen leren.
1860308	Io non so per niente come giocare a golf.	4640653	Ik weet überhaupt niet hoe je golf speelt.
5209430	Non c'è nessuno dentro.	10018926	Er is niemand binnen.
389643	Non c'è niente di prezioso come l'amore.	389854	Er is niets zo waardevol als de liefde.
691447	Jingle Bells, la nota canzone del periodo natalizio, in realtà non è una canzone di Natale. Il testo non dice nulla riguardo il Natale.	4916166	„Jingle Bells”, het bekende kerstlied, heeft in werkelijkheid niets met Kerstmis te maken. In de tekst is er geen enkele verwijzing naar het kerstfeest.
3088056	Io non posso abbracciare Taninna. Non mi ama più.	3606645	Ik kan Taninna niet omhelzen. Ze houdt niet meer van me.
350588	Non ho niente a che fare con ciò.	605386	Ik heb er niets mee te maken.
389683	Non c'è niente di più prezioso dell'amore.	389853	Er is niets waardevoller dan de liefde.
2809163	Non ha niente di caldo da bere?	6066322	Heb je iets warms te drinken?
1752154	Qualunque cosa accada, non dirò niente a nessuno.	1916573	Wat er ook gebeurt, ik zal er niemand iets over vertellen.
389763	Apprendiamo per esperienza che gli uomini non apprendono mai niente per esperienza.	394914	We leren uit ervaring dat mensen nooit iets leren uit ervaring.
3614806	Non sei per niente stupido.	3615282	Je bent helemaal niet dom.
679264	Non li ho visti da nessuna parte.	4269569	Ik heb ze nergens gezien.
350397	Non fece niente di male.	580253	Hij heeft niets slechts gedaan.
1329776	Non c'è nessun dubbio.	7897987	Er is geen twijfel.
963948	Le mie novità non sono importanti per quelli che non si interessano di sport.	916248	Mijn nieuws is niet belangrijk voor diegenen, die zich niet interesseren voor sport.
8012366	Perché non c'è nessuno qui?	8438783	Waarom is er niemand hier?
2687382	Non aspettavo nessun regalo.	2687385	Ik heb geen kado verwacht.
6063296	Non ho mai visto nessuno morire.	6080392	Ik heb nog nooit iemand zien sterven.
1246849	A causa della densa nebbia non si vedeva nessun uomo.	2811790	Door de dichte mist, was er geen mens te zien.
2687382	Non aspettavo nessun regalo.	4945941	Ik had geen geschenk verwacht.
367967	Non mangio né carne, né pesce, niente frutti di mare, né brodo di origine animale.	367974	Ik eet geen vlees, geen vis en geen zeevruchten, en ook geen vleesbouillon.
426486	Non c'è nessuno seduto qui.	646290	Niemand zit hier.
624898	Lui non beve e non fuma.	1307936	Hij rookt noch drinkt.
4316651	Tu non sai niente di me.	3702050	Je weet niets over mij.
8562336	Non voglio vedere nessuno morire.	12326273	Ik wil niemand zien sterven.
422348	So che pensi di avere capito quello che pensavi che avessi detto, ma non sono sicuro che tu abbia realizzato che quello che hai inteso non è quello che volevo dire.	422946	Ik weet dat je denkt dat je hebt begrepen wat je dacht dat ik gezegd heb, maar ik weet niet zeker of je je wel gerealiseerd hebt dat wat jij gehoord hebt niet is wat ik bedoelde.
3364153	Non c'è nessuno qui.	6275048	Er is niemand hier.
727003	L'utente non è il proprietario di questi dati salvati. Non sarà possibile salvare i progressi di gioco. I trofei verranno disattivati.	727006	Je bent geen eigenaar van dit opslagbestand. Je kunt je voortgang niet opslaan. Trofeeën zijn niet beschikbaar.
634702	Non ci manca nulla per essere felici.	1065774	Er ontbreekt ons niets om gelukkig te zijn.
508215	Il passato può solo essere conosciuto, non cambiato. Il futuro può essere solo cambiato, non conosciuto.	2920629	Het verleden kan men kennen, maar niet veranderen. De toekomst kan men veranderen, maar niet kennen.
1167344	Non c'è nessun nuovo sole.	3064451	Er is geen nieuwe zon.
