Italian	Dutch
La pioggia ha lasciato poche goccioline sul vetro.	De regen liet een paar kleine druppels op het raam achter.
Il cuoco ha preparato un delizioso tortino al cioccolato.	De kok bereidde een heerlijke, kleine chocoladetaart.
Il cane ha portato un bastoncino.	De hond bracht een klein stokje.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
Quel cane è un cagnolino adorabile.	Die hond is een schattig hondje.
La torta è deliziosa, ne vorrei un'altra fettina.	De taart is heerlijk, ik zou graag nog een klein stukje hebben.
La mia nonna mi chiamava sempre 'bimbetto'.	Mijn oma noemde me altijd 'kleine jongen'.
La pioggia è leggera, quasi una pioggerellina.	De regen is zacht, bijna een motregen.
La mia amica ha un nuovo cucciolino.	Mijn vriendin heeft een nieuw puppytje.
La mia borsa è una borsettina elegante.	Mijn tas is een elegante handtas.
Il gatto fa le fusa come un trenino.	De kat snurkt als een treintje.
La mia stanza è un po' disordinatina.	Mijn kamer is een beetje rommelig.
Ho incontrato un vecchietto saggio.	Ik ontmoette een wijze oude man.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
Quel cane è un cagnolino adorabile.	Die hond is een schattig hondje.
La torta è deliziosa, ne vorrei un'altra fettina.	De taart is heerlijk, ik zou graag nog een klein stukje hebben.
La mia nonna mi chiamava sempre 'bimbetto'.	Mijn oma noemde me altijd 'kleine jongen'.
Ho visto un uccellino sul ramo.	Ik zag een vogeltje op de tak.
La mia borsa è una borsettina elegante.	Mijn tas is een elegante, kleine handtas.
Quel film è un capolavorone.	Die film is een meesterwerk.
La mia amica ha un vestitino carino.	Mijn vriendin heeft een schattig jurkje.
Ho trovato un monetina per terra.	Ik vond een klein muntje op de grond.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
Quel cane è un cagnolino adorabile.	Die hond is een schattig hondje.
La torta è deliziosa, ne vorrei un'altra fettina.	De taart is heerlijk, ik zou graag nog een klein stukje hebben.
Il mio amico ha comprato una casetta al mare.	Mijn vriend heeft een klein huisje aan zee gekocht.
La nonna ha preparato dei biscottini fatti in casa.	Oma heeft zelfgemaakte koekjes gebakken.
La ragazza ha un vestitino molto carino.	Het meisje draagt een heel schattig jurkje.
Il bambino ha costruito un castello di sabbietta.	Het kind heeft een klein zandkasteel gebouwd.
La pasticceria ha dei dolcetti deliziosi.	De bakkerij heeft heerlijke kleine gebakjes.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
Quel cane è un cagnolino adorabile.	Die hond is een schattig hondje.
La torta è deliziosa, ne vorrei un'altra fettina.	De taart is heerlijk, ik zou graag nog een klein stukje hebben.
Il mio amico ha comprato una casetta al mare.	Mijn vriend heeft een klein huisje aan zee gekocht.
La nonna ha preparato dei biscottini fatti in casa.	Oma heeft zelfgemaakte koekjes gebakken.
La ragazza ha un vestitino molto carino.	Het meisje draagt een heel schattig jurkje.
Il bambino ha costruito un castellino di sabbia.	Het kind heeft een klein zandkasteel gebouwd.
La mia borsa è una borsettina elegante.	Mijn tas is een elegante, kleine handtas.
Il cuoco ha preparato un piattino speciale per il bambino.	De kok heeft een speciaal gerechtje voor het kind gemaakt.
Il mio gatto fa le fusa come un trenino.	Mijn kat snurkt als een treintje.
Il negozio è pieno di oggettini interessanti.	De winkel is vol met interessante kleine voorwerpen.
Ho comprato una bottiglietta d'acqua.	Ik heb een klein flesje water gekocht.
Quel cane è un cagnolino adorabile.	Die hond is een schattig hondje.
La torta è deliziosa, ne vorrei un'altra fettina.	De taart is heerlijk, ik zou graag nog een klein stukje hebben.
Il mio amico ha comprato una casetta al mare.	Mijn vriend heeft een klein huisje aan zee gekocht.
La nonna ha preparato dei biscottini fatti in casa.	Oma heeft zelfgemaakte koekjes gebakken.
La ragazza ha un vestitino molto carino.	Het meisje draagt een heel schattig jurkje.
Il bambino ha costruito un castellino di sabbia.	Het kind heeft een klein zandkasteel gebouwd.
La mia borsa è una borsettina elegante.	Mijn tas is een elegante, kleine handtas.
Il cuoco ha preparato un piattino speciale per il bambino.	De kok heeft een speciaal gerechtje voor het kind gemaakt.
Il mio gatto fa le fusa come un trenino.	Mijn kat snurkt als een treintje.
Il negozio è pieno di oggettini interessanti.	De winkel is vol met interessante kleine voorwerpen.
